Season,Name,Team,GS,IP,vFA (pi),ERA,FA-AA,FT-AA,FC-AA,FS-AA,FO-AA,SI-AA,SL-AA,CU-AA,KC-AA,EP-AA,CH-AA,SC-AA,KN-AA,SLO-AA,ST-AA,CUO-AA,CV-AA,NameASCII,PlayerId,MLBAMID
2025,"Stephen Kolek","- - -",19,112.2,94.15922075788552,3.5147929787448,36.268979673032405,,31.899491959508754,,,34.02371763187193,30.31627892602848,33.967376708984375,,,29.807681959502553,,,31.086260114397323,28.441536812160326,33.967376708984375,,"Stephen Kolek",21487,663568
2024,"Kyle Freeland","COL",21,113.1,91.64180570268361,5.241176705805911,30.800846717877096,,,,,28.301951324884794,24.327114427860696,,24.82962063626126,,28.54186103757748,,,24.327114427860696,,,,"Kyle Freeland",16256,607536
2025,"Kodai Senga","NYM",22,113.1,94.84047631469114,3.017647194251888,44.90203072829716,,47.87125060718912,,44.85128553752302,43.31493283991228,46.327049490638764,49.655128479003906,,50.0351676940918,,,,47.026613527590094,45.657639075969826,49.655128479003906,,"Kodai Senga",31838,673540
2025,"Grant Holmes","ATL",21,114,94.5063232421875,4.026316058932927,38.52300142492138,,38.425936312288854,,,38.39265823364258,38.498904001798564,40.51130346760797,,,36.50513756793478,,,38.498904001798564,,40.51130346760797,,"Grant Holmes",16944,656550
2024,"Kyle Hendricks","CHC",24,116.1,87.95817729855372,6.266475918678608,40.788065843621396,,,,,42.98902980451542,,43.50547110316265,,,43.62905471821756,,,,,43.50547110316265,,"Kyle Hendricks",12049,543294
2025,"Andrew Heaney","PIT",23,117,90.15553066724942,4.846153846153846,26.054273270882703,,,,,9.266387803819445,25.109577217487374,18.78291372234902,34.63621681053322,,27.291219429347827,,,25.109577217487374,,18.78291372234902,,"Andrew Heaney",15423,571760
2024,"Lance Lynn","STL",23,117.1,92.49589554704016,3.835227438979905,32.46084014797508,,30.872162806305067,,,32.018359947763926,30.18938739483173,34.236420398622045,,,29.25240707397461,,,,30.18938739483173,34.236420398622045,,"Lance Lynn",2520,458681
2025,"Cal Quantrill","- - -",26,117.2,93.59377245440531,6.042493097417211,47.78955107971042,,43.30204892488119,43.897776918548146,,38.94174863339902,44.35377363725142,50.37252342094809,,,45.33082275390625,,,44.35377363725142,,50.37252342094809,,"Cal Quantrill",19312,615698
2025,"Chris Sale","ATL",20,120,94.87118098635236,2.625,9.141756074242892,,,,,6.356253803640172,8.50539236962146,,,,4.184338027624775,,,8.50539236962146,,,,"Chris Sale",10603,519242
2025,"Walker Buehler","- - -",24,120,94.08893347424713,5.025,43.850772059915634,,43.83838253723663,,,34.30324600883152,44.18355243799468,,49.516957752740204,,36.1383916290713,,,45.80651604374753,40.57189339651188,,,"Walker Buehler",19374,621111
2025,"Erick Fedde","- - -",24,120.2,93.27163696289062,5.519337132898344,,,35.930481816681336,,,39.47805598594623,30.260636806488037,,,,30.176050866168477,,,,30.260636806488037,,,"Erick Fedde",17425,607200
2024,"David Peterson","NYM",21,121,93.17740885416667,2.9008264462809916,39.823667464717744,,,,,41.76263469827586,37.432093523550726,46.38026524256993,,,42.24649773513843,,,37.432093523550726,,46.38026524256993,,"David Peterson",20302,656849
2025,"Bailey Falter","- - -",24,121.1,92.26700120192308,4.153846327974354,55.39754212845204,,,56.55328242860991,,54.923794037441034,53.263435088008286,55.5937255859375,,,,,,53.263435088008286,,55.5937255859375,,"Bailey Falter",20070,663559
2024,"Albert Suárez","BAL",24,122,94.85421798029557,3.762295317246191,42.94099060960591,,36.97634795217803,,,,,42.528659396701386,,,33.43790980747768,,,,,42.528659396701386,,"Albert Suarez",6175,544150
2024,"Michael Lorenzen","- - -",24,124.1,94.02909936797752,3.4021449112938646,42.41632034866898,,42.47935874789369,,,42.03920738719334,43.87645586198788,44.715435751123366,,,41.01996578145723,,,44.70777743795644,42.546335767663045,44.715435751123366,,"Michael Lorenzen",14843,547179
2025,"Adrian Houser","- - -",21,125,95.29931200731981,3.3120001010742217,39.55732775381787,,,,,34.54732451093211,36.15387966208262,40.35427124575792,,,34.05118505352509,,,36.15387966208262,,40.35427124575792,,"Adrian Houser",12718,605288
2025,"Charlie Morton","- - -",27,125.2,94.21020767962347,6.087533233495015,21.88720066715735,,20.086330506859756,,,20.87131951956168,,20.287336378020715,,,19.21923881900468,,,,,20.287336378020715,,"Charlie Morton",4676,450203
2025,"Germán Márquez","COL",26,126.1,94.87457857883817,6.696570190452643,40.09552346068249,,,,,39.6961242418249,35.57363409745066,,43.695083245998475,,38.595330004422166,,,35.57363409745066,,,,"German Marquez",15038,608566
2024,"Dean Kremer","BAL",24,129.2,93.55228365384616,4.095116002501343,39.844505957733816,,42.8883046875,42.21501953125,,35.8011444836128,,45.34980232484879,,,,,,,,45.34980232484879,,"Dean Kremer",19350,665152
2025,"Jameson Taillon","CHC",23,129.2,92.31563534768212,3.678663527670698,45.178272637795274,,46.398859888624564,,,45.82030890969669,46.83468658549331,49.20748721852022,,,47.36838942307692,,,,46.83468658549331,49.20748721852022,,"Jameson Taillon",11674,592791
2025,"Nathan Eovaldi","TEX",22,130,94.3563387784091,1.7307692307692308,30.014094599971063,,31.77034547483766,32.506676962209305,,30.786213353737114,33.23693316915761,35.971030363621374,,,,,,33.23693316915761,,35.971030363621374,,"Nathan Eovaldi",9132,543135
2025,"Logan Gilbert","SEA",25,131,95.47628035491906,3.435114503816794,42.27170915920716,,,34.66597406914894,,35.87434488932292,41.142943050986844,40.25715438179348,,,,,,41.142943050986844,,40.25715438179348,,"Logan Gilbert",22250,669302
2025,"Jose Quintana","MIL",24,131.2,90.29453890931373,3.964557268325788,42.666942205954726,,,,,41.62915958420502,,41.970662771177686,,,40.456486002604166,,,,,42.58596531348893,40.813302176339285,"Jose Quintana",11423,500779
2024,"Tyler Glasnow","LAD",22,134,96.41026368261826,3.4925373134328357,56.08596339779005,,,,,55.78485491071429,52.421263770233814,59.205428016377006,,,,,,52.421263770233814,,59.205428016377006,,"Tyler Glasnow",14374,607192
2024,"Reynaldo López","ATL",25,134.2,95.70230654761905,2.0049504193239716,41.56063473183391,,,,,,39.423580008143325,49.482942174692624,,,41.647765359760804,,,39.423580008143325,,49.482942174692624,,"Reynaldo Lopez",16400,625643
2024,"Justin Steele","CHC",24,134.2,,3.07425765796757,45.15826085283251,,,,,44.401976419151374,46.78586618523849,52.42797296697443,,,44.73351868586754,,,46.78586618523849,,52.42797296697443,,"Justin Steele",17312,657006
2024,"Martín Pérez","- - -",26,135,91.48380100980718,4.533333461431813,47.9068445666083,,46.728241906763344,,,46.21896660131495,43.67831039428711,50.1319083921371,,,46.308950458458085,,,43.67831039428711,,50.1319083921371,,"Martin Perez",6902,527048
2024,"Joe Ryan","MIN",23,135,94.0268952404318,3.6,25.56710516237745,,,26.038678175403227,,24.21503169952877,25.744351451120163,,,,,,,26.522569986979168,25.402025866019063,,,"Joe Ryan",21390,657746
2025,"JP Sears","- - -",27,135.2,92.28648913972134,5.041769136279228,29.703394799525235,,33.63029098510742,,,23.623911807411595,22.209096424615204,25.750176068010003,,,20.721151750640008,,,22.335238885022925,22.17602692369015,25.750176068010003,,"JP Sears",23429,676664
2025,"Tyler Anderson","LAA",26,136.1,89.36154368729098,4.555012394875241,55.48270839165733,,51.83290791362213,,,32.41185948988971,37.1088271722561,64.77578125,,,59.034714033018865,,,37.1088271722561,,64.77578125,,"Tyler Anderson",12880,542881
2025,"Davis Martin","CHW",25,136.2,94.09737951294278,4.280488123488124,39.00582497035908,,37.56740517652672,,,37.40795189315353,40.210123697916664,42.193734628182874,,,36.384736419392524,,,40.210123697916664,,42.193734628182874,,"Davis Martin",21448,663436
2024,"Nick Pivetta","BOS",26,139.2,94.05317722448058,4.188544457814398,57.1811060298103,,55.41190211892986,,,,54.67525652985075,57.857613053902114,,,,,,58.30264497139085,54.245301413814694,57.857613053902114,,"Nick Pivetta",15454,601713
