Name,Team,FA-AA,FT-AA,FC-AA,FS-AA,FO-AA,SI-AA,SL-AA,CU-AA,KC-AA,EP-AA,CH-AA,SC-AA,KN-AA,SLO-AA,ST-AA,CUO-AA,CV-AA,WAR,NameASCII,PlayerId,MLBAMID
"Jonathan Hernández","- - -",22.856594800949097,,,,,21.671359510031916,25.327643127441405,,,,23.395765018158446,,,25.327643127441405,,,,0.2225817514632097,"Jonathan Hernandez",17464,642546
"Carson Spiers","CIN",33.41650372145498,,28.658340938842098,,,28.744919645818417,27.39442125190214,,,,27.151428813187678,,,30.709579174335186,27.30556134096126,,,0.22242351241487837,"Carson Spiers",27685,686730
"Mason Thompson","- - -",39.51175558371622,,,,,32.16425102271594,27.521235836766614,33.786117992181886,,,29.867373215524776,,,27.521235836766614,,33.786117992181886,,0.22185021415114736,"Mason Thompson",21850,666168
"Tommy Milone","- - -",40.450558914127846,,,,,39.85038847081802,39.5295278761122,32.34437138101329,,,37.76912421684761,,,39.5295278761122,,32.34437138101329,,0.22135731778455195,"Tommy Milone",7608,543548
"Yuki Matsui","SDP",55.04546422861609,,,54.04798293799257,,52.48680248260498,54.32762185538687,53.2495969136556,,,,,,54.47940768102172,53.94118334795978,53.2495969136556,,0.2183273174059598,"Yuki Matsui",33826,673513
"Adonis Medina","- - -",31.580750076859086,,,,,30.255247913707386,31.099376822171145,35.66499312264579,,,31.59299917782054,,,31.099376822171145,,35.66499312264579,,0.21788103157586625,"Adonis Medina",19903,658431
"Humberto Castellanos","- - -",23.221423627404263,,20.979374923706054,,,15.312934149266102,25.76937922053464,20.5062426256579,,,30.089159284319198,,,25.76937922053464,,20.5062426256579,,0.21763186169291765,"Humberto Castellanos",21183,528748
"Riley Smith","ARI",38.547402954101564,,39.46068359089789,,,39.99959286776456,41.02565539613062,44.207981995613345,,,37.05978791431714,,,41.02565539613062,,44.207981995613345,,0.2172125386130298,"Riley Smith",19826,642092
"Patrick Murphy","- - -",49.887633992914566,,,,,29.06650021921591,,39.81332400562317,,,20.441561562674387,,,,,39.81332400562317,,0.21464264328209615,"Patrick Murphy",19712,641907
"Brendan White","DET",30.916778671407254,,,33.01285711924235,,31.76391224331326,32.88616598173402,55.76019287109375,,,,,,32.33662792262185,33.4859309247745,55.76019287109375,,0.21262721937156914,"Brendan White",26024,686839
"Connor Prielipp","MIN",41.69090619003563,,,,,39.870423271542506,39.1557477412333,44.553650646674924,,,37.26673498819041,,,39.1557477412333,,44.553650646674924,,0.21166880853380826,"Connor Prielipp",31857,687570
"Nik Turley","PIT",33.81485884661836,,,,,,,37.3973715448954,,,,,,,,37.3973715448954,,0.2097384333448866,"Nik Turley",5530,543867
"Kyle McGowin","WSN",33.8022609662406,,46.83334732055664,,,34.8856359797416,30.300359305950128,,,,36.657694816589355,,,30.300359305950128,,,,0.20925008407220166,"Kyle McGowin",15071,641851
"Justin Anderson","CHW",35.79327372761516,,34.24067714479234,,,37.48115255536824,35.417420551388766,,,,,,,35.417420551388766,,,,0.20812279770169678,"Justin Anderson",16201,605121
"Enmanuel De Jesus","- - -",41.94883424941808,,36.073219807942706,,,37.67834062718634,46.00046228479456,,,,39.856101953415646,,,46.00046228479456,,,,0.20566073069640706,"Enmanuel De Jesus",18554,646241
"Cole Winn","TEX",41.31467808342968,,37.39889545345781,34.59314617414153,,34.97993729869771,41.85619364760992,40.54848779950823,,,,,,41.85619364760992,,40.54848779950823,,0.20490895587581376,"Cole Winn",22113,668390
"Jordan Sheffield","COL",47.214156196815026,,,,,44.884700775146484,44.194385649028575,,,,39.826275004897006,,,44.194385649028575,,,,0.20479772006793906,"Jordan Sheffield",19682,642068
"Peyton Gray","TEX",38.15911139904613,,,,,,36.40024512154715,,,,36.740288816852335,,,36.40024512154715,,,,0.20348667238329216,"Peyton Gray",25310,682608
"Drew Hutchison","DET",48.34568144054608,,,,,48.703321950776235,41.69937723243575,,,,48.6835485310315,,,41.69937723243575,,,,0.1981589946354118,"Drew Hutchison",10732,571800
"Jonah Tong","NYM",65.35628599068369,,,,,,62.581983184814455,62.23849454133407,,,63.37367278454351,,,62.581983184814455,,62.23849454133407,,0.1960920166851568,"Jonah Tong",32157,804636
"Hunter Bigge","- - -",53.81347367775381,,,47.209494527180986,,51.79263114929199,50.74278281864367,54.94597605112437,,,,,,51.04439507972744,43.991310119628906,54.94597605112437,,0.19501858060052363,"Hunter Bigge",26259,685801
"John McMillon","- - -",43.6417975792518,,51.770843505859375,,,43.04530334472656,40.52268689744016,,,,,,,40.52268689744016,,,,0.19463045065419635,"John McMillon",27942,669111
"Vladimir Gutierrez","- - -",39.48141318482238,,,,,45.83863830566406,42.82895577640857,47.23797258649554,,,38.16815763201032,,,42.82895577640857,,47.23797258649554,,0.19221493271703183,"Vladimir Gutierrez",19278,661269
"Adam Kolarek","- - -",8.69609809743947,,,,,-7.761566079181174,-1.5617100199063618,,,,-3.30813329257071,,,-1.5617100199063618,,,,0.19167481235678724,"Adam Kolarek",10843,592473
"Andrew Painter","PHI",48.487524754497635,,,46.533660085577715,,50.310642812443874,43.10084075927735,52.35722351074219,,,,,,45.060095703125,39.83541524251302,52.35722351074219,,0.18839695920933963,"Andrew Painter",30091,691725
"Corey Oswalt","NYM",30.238890506059697,,,,,2.5190865198771157,20.939813977196103,0,,,30.38858431861514,,,20.939813977196103,,0,,0.18732150737573755,"Corey Oswalt",13677,621261
"Kenny Rosenberg","LAA",47.251000705032794,,46.942017202302225,,,,46.03768513120454,52.27771512545072,,,46.305508430461934,,,46.03768513120454,,52.27771512545072,,0.1872102471128917,"Kenny Rosenberg",20009,670046
"Dylan Coleman","- - -",33.62581199833325,,33.99845451283678,,,32.9935946745031,34.94036568535699,,,,,,,36.19544434195082,34.42040435635314,,,0.18570906370917975,"Dylan Coleman",22276,669395
"Brett Kennedy","CIN",38.8102165222168,,,,,35.03014075237772,33.80642745074104,,,,38.07050753187859,,,33.80642745074104,,,,0.1854989395175584,"Brett Kennedy",17877,664028
"Kodi Whitley","STL",56.16188711918909,,,,,,57.339337762196855,,,,52.18360499243379,,,57.339337762196855,,,,0.18503486225190094,"Kodi Whitley",19731,676831
